Type,Covered
Abstraction,true
AcceptCallAction,true
AcceptEventAction,true
ActionExecutionSpecification,true
ActionInputPin,true
Activity,true
ActivityFinalNode,true
ActivityParameterNode,true
ActivityPartition,true
Actor,true
AddStructuralFeatureValueAction,true
AddVariableValueAction,true
AggregationKind,true
AnyReceiveEvent,true
Artifact,true
Association,true
AssociationClass,true
BehaviorExecutionSpecification,true
BroadcastSignalAction,true
CallBehaviorAction,true
CallConcurrencyKind,true
CallEvent,true
CallOperationAction,true
CentralBufferNode,true
ChangeEvent,true
Class,true
ClassifierTemplateParameter,true
Clause,true
ClearAssociationAction,true
ClearStructuralFeatureAction,true
ClearVariableAction,true
Collaboration,true
CollaborationUse,true
CombinedFragment,true
Comment,true
CommunicationPath,true
Component,true
ComponentRealization,true
ConditionalNode,true
ConnectableElementTemplateParameter,true
ConnectionPointReference,true
Connector,true
ConnectorEnd,true
ConnectorKind,true
ConsiderIgnoreFragment,true
Constraint,true
Continuation,true
ControlFlow,true
CreateLinkAction,true
CreateLinkObjectAction,true
CreateObjectAction,true
DataStoreNode,true
DataType,true
DecisionNode,true
Dependency,true
Deployment,true
DeploymentSpecification,true
DestroyLinkAction,true
DestroyObjectAction,true
DestructionOccurrenceSpecification,true
Device,true
Diagram,true
Duration,true
DurationConstraint,true
DurationInterval,true
DurationObservation,true
ElementImport,true
ElementValue,true
Enumeration,true
EnumerationLiteral,true
ExceptionHandler,true
ExecutionEnvironment,true
ExecutionOccurrenceSpecification,true
ExpansionKind,true
ExpansionNode,true
ExpansionRegion,true
Expression,true
Extend,true
Extension,true
ExtensionEnd,true
ExtensionPoint,true
FinalState,true
FlowFinalNode,true
ForkNode,true
FunctionBehavior,true
Gate,true
GeneralOrdering,true
Generalization,true
GeneralizationSet,true
Image,true
Include,true
InformationFlow,true
InformationItem,true
InitialNode,true
InputPin,true
InstanceSpecification,true
InstanceValue,true
Interaction,true
InteractionConstraint,true
InteractionOperand,true
InteractionOperatorKind,true
InteractionUse,true
Interface,true
InterfaceRealization,true
InterruptibleActivityRegion,true
Interval,true
IntervalConstraint,true
JoinNode,true
Lifeline,true
LinkEndCreationData,true
LinkEndData,true
LinkEndDestructionData,true
LiteralBoolean,true
LiteralInteger,true
LiteralNull,true
LiteralReal,true
LiteralString,true
LiteralUnlimitedNatural,true
LoopNode,true
Manifestation,true
MergeNode,true
Message,true
MessageKind,true
MessageOccurrenceSpecification,true
MessageSort,true
Model,true
NamedElementVisibilityKind,true
Node,true
ObjectFlow,true
ObjectNodeOrderingKind,true
OccurrenceSpecification,true
OpaqueAction,true
OpaqueBehavior,true
OpaqueExpression,true
Operation,true
OperationTemplateParameter,true
OutputPin,true
Package,true
PackageImport,true
PackageMerge,true
Parameter,true
ParameterDirectionKind,true
ParameterEffectKind,true
ParameterParameterEffectKind,true
ParameterSet,true
PartDecomposition,true
Port,true
PrimitiveType,true
Profile,true
ProfileApplication,true
Property,true
ProtocolConformance,true
ProtocolStateMachine,true
ProtocolTransition,true
Pseudostate,true
PseudostateKind,true
QualifierValue,true
RaiseExceptionAction,true
ReadExtentAction,true
ReadIsClassifiedObjectAction,true
ReadLinkAction,true
ReadLinkObjectEndAction,true
ReadLinkObjectEndQualifierAction,true
ReadSelfAction,true
ReadStructuralFeatureAction,true
ReadVariableAction,true
Realization,true
Reception,true
ReclassifyObjectAction,true
RedefinableTemplateSignature,true
ReduceAction,true
Region,true
RemoveStructuralFeatureValueAction,true
RemoveVariableValueAction,true
ReplyAction,true
SendObjectAction,true
SendSignalAction,true
SequenceNode,true
Signal,true
SignalEvent,true
Slot,true
StartClassifierBehaviorAction,true
StartObjectBehaviorAction,true
State,true
StateInvariant,true
StateMachine,true
Stereotype,true
StringExpression,true
StructuredActivityNode,true
Substitution,true
TemplateBinding,true
TemplateParameter,true
TemplateParameterSubstitution,true
TemplateSignature,true
TestIdentityAction,true
TimeConstraint,true
TimeEvent,true
TimeExpression,true
TimeInterval,true
TimeObservation,true
Transition,true
TransitionKind,true
Trigger,true
UnmarshallAction,true
Usage,true
UseCase,true
ValuePin,true
ValueSpecificationAction,true
Variable,true
VisibilityKind,true
